latitude,longitude,time
25.07956649,121.5445186,25/11/2025 03:11
25.1018764,121.5485519,25/11/2025 03:25
25.1023978,121.5482936,25/11/2025 03:40
25.1023724,121.5482999,25/11/2025 03:41
25.1020638,121.5479467,25/11/2025 03:57
25.1025582,121.5491948,25/11/2025 04:12
25.1028143,121.5486123,25/11/2025 04:28
25.102551,121.5491522,25/11/2025 04:51
25.1025703,121.5490886,25/11/2025 05:08
25.1027125,121.5480952,25/11/2025 05:29
25.1021064,121.5478939,25/11/2025 05:53
25.1025653,121.5486191,25/11/2025 06:10
25.101996,121.5488377,25/11/2025 06:26
25.1019882,121.5493368,25/11/2025 06:42
25.102056,121.5492841,25/11/2025 06:57
25.0975406,121.5448743,25/11/2025 07:03
25.0985998,121.5372542,25/11/2025 07:04
25.0930199,121.5278605,25/11/2025 07:11
25.0872045,121.5263185,25/11/2025 07:13
25.0699212,121.5222047,25/11/2025 07:28
25.07079,121.5193561,25/11/2025 07:44
25.0708058,121.5193511,25/11/2025 07:44
25.0720743,121.5244268,25/11/2025 08:05
25.0718935,121.5247031,25/11/2025 08:23
25.071889,121.524853,25/11/2025 08:28
25.0718961,121.5249334,25/11/2025 08:41
25.0718745,121.5248844,25/11/2025 09:18
25.0724266,121.5245013,25/11/2025 09:33
25.0728579,121.524448,25/11/2025 09:49
25.0718051,121.524794,25/11/2025 10:06
25.0725044,121.524775,25/11/2025 10:21
25.06932124,121.5198931,25/11/2025 10:34
25.0622644,121.5195865,25/11/2025 10:35
25.0335569,121.5357058,25/11/2025 10:49
25.0332455,121.5533005,25/11/2025 10:53
25.0342955,121.5647798,25/11/2025 11:08
25.0341195,121.5647727,25/11/2025 11:13
25.0337171,121.5647184,25/11/2025 11:29
25.0337599,121.5646793,25/11/2025 11:45
25.0339779,121.5647423,25/11/2025 12:03
25.036052,121.564729,25/11/2025 12:17
25.0359939,121.5612371,25/11/2025 12:32
25.03223441,121.5589809,25/11/2025 12:34
25.02770992,121.5563818,25/11/2025 12:37
25.02081661,121.5482875,25/11/2025 12:39
25.0069768,121.5585043,25/11/2025 12:48
25.0335133,121.5435967,25/11/2025 13:03
25.0340211,121.5436378,25/11/2025 13:03
25.03861401,121.5437391,25/11/2025 13:03
25.04826865,121.5440012,25/11/2025 13:06
25.0498705,121.5778489,25/11/2025 13:16
25.0501538,121.5773894,25/11/2025 13:21
25.050867,121.5770676,25/11/2025 13:36
25.0508707,121.5770796,25/11/2025 13:37
25.050302,121.5730043,25/11/2025 14:07
25.0506918,121.5761213,25/11/2025 14:27
25.0501568,121.5727234,25/11/2025 14:49
25.0500793,121.5769262,25/11/2025 15:06
25.051161,121.563937,25/11/2025 15:12
25.0512179,121.5328921,25/11/2025 15:21
25.0507769,121.5315706,25/11/2025 15:24
25.0507069,121.5316156,25/11/2025 15:27
25.050691,121.5316168,25/11/2025 15:37
25.0506679,121.5316031,25/11/2025 15:42
25.0506748,121.5315989,25/11/2025 15:52
25.0506866,121.5316041,25/11/2025 15:57
25.0507011,121.5316221,25/11/2025 15:57
25.0506714,121.5315971,25/11/2025 16:12
25.050675,121.5316234,25/11/2025 16:12
25.0506733,121.5316019,25/11/2025 16:27
25.0506724,121.5316011,25/11/2025 16:43
25.0506883,121.5316183,25/11/2025 16:52
25.0506731,121.5316009,25/11/2025 17:07
25.0506735,121.5315918,25/11/2025 17:22
25.0506803,121.5315962,25/11/2025 17:38
25.0506998,121.5315921,25/11/2025 23:07
25.0506761,121.5315985,25/11/2025 23:10
25.05068,121.5315988,25/11/2025 23:23
25.0506836,121.5316014,25/11/2025 23:25
25.05068,121.5316044,25/11/2025 23:38
25.0506683,121.5315999,25/11/2025 23:40
25.050712,121.5316157,25/11/2025 23:53
25.0506818,121.5316023,25/11/2025 23:56
25.0507362,121.5315758,26/11/2025 00:13
25.0506731,121.5315912,26/11/2025 00:28
25.050676,121.5315935,26/11/2025 00:43
25.0506798,121.5315942,26/11/2025 00:58
25.0506847,121.5315942,26/11/2025 01:31
25.0509263,121.5316357,26/11/2025 01:47
25.050925,121.5316306,26/11/2025 02:02
25.0505545,121.5308059,26/11/2025 02:17
25.04532399,121.5303327,26/11/2025 02:31
25.0444552,121.5301385,26/11/2025 02:32
25.0448375,121.5239411,26/11/2025 02:51
25.0451653,121.5229989,26/11/2025 02:53
25.0498443,121.521708,26/11/2025 03:02
25.0507309,121.5188666,26/11/2025 03:11
25.0509427,121.5184435,26/11/2025 03:26
25.0507788,121.5184655,26/11/2025 03:33
25.0508379,121.518551,26/11/2025 03:52
25.0507063,121.5186347,26/11/2025 04:09
25.0506474,121.5187215,26/11/2025 04:27
25.0507247,121.5190009,26/11/2025 04:42
25.0506477,121.519328,26/11/2025 05:00
25.0520507,121.5126093,26/11/2025 05:14
25.0520544,121.5126107,26/11/2025 05:15
25.051852,121.5126394,26/11/2025 05:30
25.0538419,121.5101993,26/11/2025 05:45
25.05689633,121.5098212,26/11/2025 05:54
25.0576787,121.508656,26/11/2025 06:00
25.05274858,121.5065071,26/11/2025 06:17
25.0526826,121.5064867,26/11/2025 06:17
25.0508681,121.5070368,26/11/2025 06:32
25.04780302,121.5051426,26/11/2025 06:41
25.0434635,121.5035646,26/11/2025 06:47
25.04232969,121.5023256,26/11/2025 06:50
25.0369209,121.5000459,26/11/2025 07:03
25.0373897,121.5000087,26/11/2025 07:18
25.0373956,121.5000075,26/11/2025 07:20
25.0367933,121.503373,26/11/2025 07:40
25.0390482,121.5040911,26/11/2025 07:44
25.0405726,121.50464,26/11/2025 07:48
25.042178,121.5071247,26/11/2025 08:06
25.0453921,121.5077533,26/11/2025 08:16
25.0441141,121.5084827,26/11/2025 08:21
25.0450862,121.5097286,26/11/2025 08:36
25.04522241,121.5134676,26/11/2025 08:43
25.0447458,121.5167839,26/11/2025 08:53
25.0444535,121.5169828,26/11/2025 09:19
25.04041138,121.5152595,26/11/2025 09:26
25.0373855,121.5176078,26/11/2025 09:35
25.035775,121.5188245,26/11/2025 09:39
25.0353218,121.5210316,26/11/2025 09:50
25.035276,121.5212251,26/11/2025 10:05
25.0353542,121.5212933,26/11/2025 10:05
25.0348325,121.5222776,26/11/2025 10:20
25.034768,121.5221981,26/11/2025 10:36
25.0323896,121.5230876,26/11/2025 10:51
25.0319809,121.5262284,26/11/2025 10:56
25.0338357,121.5301312,26/11/2025 11:07
25.0336741,121.5300621,26/11/2025 11:23
25.0522855,121.5329682,26/11/2025 11:40
25.0506707,121.5315996,26/11/2025 11:55
25.0506623,121.5316023,26/11/2025 11:59
25.0506732,121.5315944,26/11/2025 12:17
25.0506725,121.5315965,26/11/2025 12:41
25.0506784,121.5315958,26/11/2025 13:04
25.0506736,121.5316078,26/11/2025 13:19
25.0506857,121.531598,26/11/2025 13:34
25.0506736,121.5316016,26/11/2025 13:50
25.0506781,121.531597,26/11/2025 13:58
25.0506882,121.5316243,26/11/2025 14:13
25.0506817,121.5315861,26/11/2025 14:13
25.0508188,121.5317641,26/11/2025 14:28
25.0506723,121.5316075,26/11/2025 14:32
25.0506883,121.531607,26/11/2025 14:43
25.0506693,121.5315991,26/11/2025 14:55
25.0506827,121.5316,26/11/2025 14:59
25.050678,121.5315985,26/11/2025 15:14
25.0506527,121.5315992,26/11/2025 15:29
25.0506647,121.5316022,26/11/2025 15:44
25.0506526,121.5316006,26/11/2025 16:00
25.0506584,121.5315945,26/11/2025 16:15
25.0506723,121.5316093,26/11/2025 16:23
25.0506833,121.5316013,26/11/2025 16:38
25.0506572,121.5315992,26/11/2025 16:53
25.05066,121.5316043,26/11/2025 17:09
25.0506659,121.531606,26/11/2025 17:24
25.050675,121.5316045,26/11/2025 17:39
25.0506814,121.5316151,26/11/2025 17:54
25.0506801,121.531599,26/11/2025 18:10
25.0506712,121.5315979,26/11/2025 18:25
